id,property_type,address,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming pool,garden,air_conditioning ,heating,log_price,city-neighborhood
104387025,Flat / apartment,Les Roquetes,Nou Barris,Barcelona,210000.0,65,2,1,4,2008.0,True,True,True,True,True,False,False,False,False,True,True,12.25486757159303,Barcelona - Nou Barris
103872601,Flat / apartment,El Carmel,Horta Guinardó,Barcelona,210000.0,70,3,1,2,1962.0,True,True,False,False,True,False,False,False,False,False,False,12.25486757159303,Barcelona - Horta Guinardó
102398617,Penthouse,calle de l'Àliga,Hostafrancs,Barcelona,375000.0,112,2,1,3,1936.0,False,False,True,True,True,False,False,False,False,False,False,12.83468397161566,Barcelona - Hostafrancs
99864492,Flat / apartment,calle d'Aragó,La Dreta de l'Eixample,Barcelona,400000.0,104,4,1,1,1981.0,False,False,False,False,True,False,False,False,False,False,True,12.899222326086994,Barcelona - La Dreta de l'Eixample
101932816,Flat / apartment,Fondo,Santa Coloma de Gramenet,Santa Coloma de Gramenet,101000.0,65,2,1,0,1970.0,False,False,False,False,True,False,False,False,False,False,True,11.52288569676448,Santa Coloma de Gramenet - Santa Coloma de Gramenet
104364969,Flat / apartment,El Gòtic,Ciutat Vella,Barcelona,495000.0,105,2,2,3,1900.0,True,True,False,True,True,False,False,False,False,True,False,13.112315061750808,Barcelona - Ciutat Vella
103623025,Flat / apartment,calle del Capità Arenas,Pedralbes,Barcelona,848000.0,154,3,1,1,1961.0,True,True,True,False,True,False,False,False,False,False,True,13.650637094018627,Barcelona - Pedralbes
104389800,Duplex,"riera Matamos, 1",Casagemes,Badalona,385000.0,109,2,2,0,2022.0,True,True,False,False,False,False,False,False,False,False,True,12.861001210669146,Badalona - Casagemes
103911846,Duplex,calle de la Riereta,El Raval,Barcelona,250000.0,150,2,2,0,1900.0,True,False,True,True,True,True,False,False,False,False,True,12.429220196836384,Barcelona - El Raval
101240861,Studio flat,calle de Catània,El Besòs,Barcelona,82000.0,48,0,1,0,1962.0,False,False,False,False,True,False,False,False,False,False,True,11.31448672129398,Barcelona - El Besòs
104275110,Flat / apartment,"calle Estoril, 16",Horta,Barcelona,395000.0,66,2,2,1,1976.0,True,True,True,False,False,False,False,False,False,False,True,12.886643575525625,Barcelona - Horta
